5,"t","Honey Bee Colonies: Released August 1, 2024, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
5,"t","Colonies, Maximum, Lost, Percent Lost, Added, Renovated, and Percent Renovated with Five or More Colonies – States and United States: January 1, 2023 and January-March 2023"
2,"d","Wisconsin",15.0,0.9,0.8,0.5,2.7,7.2
2,"d","Wyoming",10.4,-,-,-,1.4,"(Z)"
2,"d","",,,,,,
2,"d","Other States 4/",21.3,17.7,13.2,-,1.1,"(Z)"
2,"d","",,,,,,
2,"d","United States",39.9,13.4,7.3,9.9,14.7,11.1
2,"c",""
2,"f","-  Represents zero."
2,"f","(Z)  Less than half of the unit shown."
2,"f","1/ Tracheal mites, nosema, hive beetle, wax moths, etc."
2,"f","2/ Includes American and European foulbrood, chalkbrood, stonebrood, paralysis (acute and chronic), kashmir, deformed wing, sacbrood, IAPV, Lake Sinai II, etc."
2,"f","3/ Includes weather, starvation, insufficient forage, queen failure, hive damage/destroyed, etc."
2,"f","4/ Includes data for States not published in this table."
13,"t","Honey Bee Colonies: Released August 1, 2024, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
13,"t","Colony Health Stressors with Five or More Colonies – States and United States: April-June 2023"
13,"t","[Percent of colonies affected by stressors anytime during the quarter. A colony may be affected by multiple stressors during the quarter]"
13,"h","","","","","","",""
13,"h","","Varroa","Other pests","","","",""
13,"h","State","mites","and parasites 1/","Diseases 2/","Pesticides","Other 3/","Unknown"
13,"h","","","","","","",""
13,"u","","(percent)","(percent)","(percent)","(percent)","(percent)","(percent)"
13,"d","Alabama",37.1,10.5,2.2,1.0,4.5,9.2
13,"d","Arizona",15.4,-,2.1,-,0.7,"(Z)"
13,"d","Arkansas",22.4,13.1,2.8,7.4,1.9,3.1
13,"d","California",41.4,3.3,4.0,4.5,11.3,4.1
13,"d","Colorado",64.4,5.1,5.5,1.3,0.7,"(Z)"
13,"d","Connecticut",66.3,4.9,0.8,-,2.7,0.7
13,"d","Florida",48.9,23.0,6.7,17.6,14.7,7.4
13,"d","Georgia",29.2,11.9,2.3,3.8,9.5,7.0
13,"d","Idaho",40.9,6.7,5.9,5.7,1.3,1.4
13,"d","",,,,,,
13,"d","Illinois",25.6,13.3,3.2,6.8,6.7,3.7
13,"d","Indiana",23.8,5.6,1.6,7.4,18.3,3.0
13,"d","Iowa",17.9,2.6,4.5,9.9,5.1,"(Z)"
13,"d","Kansas",38.1,2.2,0.1,24.0,3.0,3.0
13,"d","Kentucky",8.3,2.8,0.9,1.2,0.7,5.5
13,"d","Louisiana",32.0,3.6,"(Z)",17.5,24.7,0.8
13,"d","Maine",10.6,"(Z)",3.9,4.7,"(Z)",-
13,"d","Maryland",18.8,0.9,0.6,"(Z)",0.8,"(Z)"
13,"d","Massachusetts",28.2,"(Z)",0.7,"(Z)",10.6,1.6
13,"d","Michigan",12.0,7.7,1.8,2.6,3.2,10.0
13,"d","",,,,,,
13,"d","Minnesota",13.0,2.1,"(Z)",10.1,1.1,7.7
13,"d","Mississippi",12.8,3.6,1.0,3.3,9.0,2.5
13,"d","Missouri",12.9,6.3,0.8,0.5,4.7,3.3
13,"d","Montana",23.7,"(Z)",2.1,2.9,6.5,"(Z)"
13,"d","Nebraska",27.4,4.8,0.6,0.5,0.6,3.7
13,"d","New Jersey",14.4,2.6,0.6,"(Z)",1.6,0.9
13,"d","New Mexico",4.0,0.6,1.3,0.7,1.1,"(Z)"
13,"d","New York",25.4,8.9,2.0,2.1,9.7,"(Z)"
13,"d","North Carolina",28.7,8.8,0.9,"(Z)",1.6,2.5
13,"d","North Dakota",64.6,6.7,2.7,6.7,1.4,"(Z)"
13,"d","",,,,,,
13,"d","Ohio",65.3,33.5,0.7,5.7,1.0,4.4
13,"d","Oklahoma",4.0,0.9,-,-,0.7,"(Z)"
13,"d","Oregon",27.9,9.3,3.5,14.3,4.3,"(Z)"
13,"d","Pennsylvania",13.8,7.2,2.7,6.9,1.1,1.1
13,"d","South Carolina",32.7,5.8,0.7,"(Z)",16.0,2.7
13,"d","South Dakota",13.6,7.2,"(Z)",6.0,1.3,0.9
13,"d","Tennessee",13.3,1.6,-,"(Z)",2.8,1.8
13,"d","Texas",48.1,43.6,11.2,12.5,30.9,10.5
13,"d","Utah",55.0,33.6,25.5,28.0,28.6,"(Z)"
13,"d","Vermont",9.7,0.5,-,0.8,"(Z)",1.2
13,"d","",,,,,,
13,"d","Virginia",23.3,7.5,0.8,-,6.6,3.0
13,"d","Washington",41.6,1.0,6.1,9.2,4.3,"(Z)"
13,"d","West Virginia",31.1,3.2,1.8,-,1.8,0.8
13,"d","Wisconsin",57.2,9.8,47.8,49.2,50.2,46.8
13,"d","Wyoming",17.2,10.9,-,-,2.3,2.5
13,"d","",,,,,,
13,"d","Other States 4/",10.3,3.5,3.9,2.0,0.5,"(Z)"
13,"d","",,,,,,
13,"d","United States",52.0,14.3,6.6,10.5,13.8,6.1
13,"c",""
13,"f","-  Represents zero."
13,"f","(Z)  Less than half of the unit shown."
13,"f","1/ Tracheal mites, nosema, hive beetle, wax moths, etc."
13,"f","2/ Includes American and European foulbrood, chalkbrood, stonebrood, paralysis (acute and chronic), kashmir, deformed wing, sacbrood, IAPV, Lake Sinai II, etc."
13,"f","3/ Includes weather, starvation, insufficient forage, queen failure, hive damage/destroyed, etc."
13,"f","4/ Includes data for States not published in this table."
9,"t","Honey Bee Colonies: Released August 1, 2024, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
9,"t","Colony Health Stressors with Five or More Colonies – States and United States: July-September 2023"
9,"t","[Percent of colonies affected by stressors anytime during the quarter. A colony may be affected by multiple stressors during the quarter]"
9,"h","","","","","","",""
9,"h","","Varroa","Other pests","","","",""
9,"h","State","mites","and parasites 1/","Diseases 2/","Pesticides","Other 3/","Unknown"
9,"h","","","","","","",""
9,"u","","(percent)","(percent)","(percent)","(percent)","(percent)","(percent)"
9,"d","Alabama",67.5,35.3,4.1,1.1,4.4,6.4
9,"d","Arizona",26.3,"(Z)",2.7,3.8,18.1,0.7
9,"d","Arkansas",38.6,16.7,3.1,24.3,5.0,4.2
9,"d","California",22.1,2.6,2.3,3.7,4.4,2.3
9,"d","Colorado",45.1,"(Z)",3.1,12.6,12.9,"(Z)"
9,"d","Connecticut",11.0,"(Z)",0.1,"(Z)",0.7,"(Z)"
9,"d","Florida",28.0,16.6,7.2,8.3,10.1,10.1
9,"d","Georgia",34.4,16.0,1.0,6.4,9.7,11.1
9,"d","Idaho",18.3,3.1,4.4,1.7,1.8,1.7
9,"d","",,,,,,
9,"d","Illinois",35.9,12.2,1.2,5.0,2.6,4.7
9,"d","Indiana",40.9,12.1,1.8,8.7,1.8,0.5
9,"d","Iowa",24.4,0.7,"(Z)",14.6,2.0,14.4
9,"d","Kansas",70.8,23.6,0.7,20.3,5.1,1.0
9,"d","Kentucky",35.4,9.6,2.1,7.2,5.0,3.3
9,"d","Louisiana",29.4,20.5,"(Z)",-,5.6,2.0
9,"d","Maine",17.3,"(Z)",-,-,"(Z)",-
9,"d","Maryland",32.9,13.4,-,4.1,4.1,1.6
9,"d","Massachusetts",17.4,3.3,1.8,-,0.7,0.7
9,"d","Michigan",29.0,1.6,0.8,1.7,0.6,3.7
9,"d","",,,,,,
9,"d","Minnesota",29.9,2.5,3.4,12.7,3.3,4.2
9,"d","Mississippi",34.9,2.9,"(Z)",1.3,12.0,1.3
9,"d","Missouri",17.5,3.9,"(Z)",0.8,8.9,2.0
9,"d","Montana",32.4,"(Z)",2.8,1.1,21.1,"(Z)"
9,"d","Nebraska",19.7,"(Z)",-,2.0,1.2,4.2
9,"d","New Jersey",14.1,2.2,"(Z)",-,0.7,1.1
9,"d","New Mexico",23.0,1.5,"(Z)","(Z)",-,0.7
9,"d","New York",24.7,11.9,3.9,6.0,4.6,6.3
9,"d","North Carolina",29.9,6.6,2.8,0.6,2.4,2.2
9,"d","North Dakota",41.1,7.1,3.0,12.4,3.5,"(Z)"
9,"d","",,,,,,
9,"d","Ohio",38.5,7.1,0.6,5.7,4.4,1.8
9,"d","Oklahoma",12.0,-,"(Z)",-,1.8,-
9,"d","Oregon",64.0,21.2,26.6,24.2,26.4,1.2
9,"d","Pennsylvania",19.6,4.0,1.4,2.7,1.3,1.6
9,"d","South Carolina",53.3,24.6,"(Z)",3.4,13.6,1.4
9,"d","South Dakota",26.3,4.0,3.1,8.0,8.1,0.9
9,"d","Tennessee",15.1,3.0,"(Z)",1.7,1.6,2.8
9,"d","Texas",4.5,0.7,-,1.0,3.9,0.7
9,"d","Utah",67.5,26.5,25.1,29.5,1.0,1.2
9,"d","Vermont",25.9,15.1,"(Z)",-,2.0,0.9
9,"d","",,,,,,
9,"d","Virginia",33.5,14.1,"(Z)","(Z)",2.9,2.0
9,"d","Washington",12.0,1.9,1.4,4.7,"(Z)",0.9
9,"d","West Virginia",20.7,6.3,-,1.2,1.7,-
9,"d","Wisconsin",54.9,1.2,0.9,7.4,0.8,2.2
9,"d","Wyoming",10.1,1.3,0.7,0.7,1.1,1.9
9,"d","",,,,,,
9,"d","Other States 4/",30.7,21.8,"(Z)",-,6.5,"(Z)"
9,"d","",,,,,,
9,"d","United States",32.5,7.6,4.0,7.7,6.8,3.5
9,"c",""
9,"f","-  Represents zero."
9,"f","(Z)  Less than half of the unit shown."
9,"f","1/ Tracheal mites, nosema, hive beetle, wax moths, etc."
9,"f","2/ Includes American and European foulbrood, chalkbrood, stonebrood, paralysis (acute and chronic), kashmir, deformed wing, sacbrood, IAPV, Lake Sinai II, etc."
9,"f","3/ Includes weather, starvation, insufficient forage, queen failure, hive damage/destroyed, etc."
9,"f","4/ Includes data for States not published in this table."
10,"t","Honey Bee Colonies: Released August 1, 2024, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
10,"t","Colony Health Stressors with Five or More Colonies – States and United States: October-December 2023"
10,"t","[Percent of colonies affected by stressors anytime during the quarter. A colony may be affected by multiple stressors during the quarter]"
10,"h","","","","","","",""
10,"h","","Varroa","Other pests","","","",""
10,"h","State","mites","and parasites 1/","Diseases 2/","Pesticides","Other 3/","Unknown"
10,"h","","","","","","",""
10,"u","","(percent)","(percent)","(percent)","(percent)","(percent)","(percent)"
10,"d","Alabama",72.0,62.4,8.2,2.1,14.5,5.1
10,"d","Arizona",24.8,-,-,0.7,1.0,16.9
10,"d","Arkansas",60.8,9.6,8.5,8.3,0.6,2.6
10,"d","California",33.7,3.8,3.4,2.4,3.2,2.9
10,"d","Colorado",11.4,-,-,-,0.7,5.3
10,"d","Connecticut",5.0,"(Z)",-,-,3.6,1.5
10,"d","Florida",38.7,14.9,4.1,30.3,17.4,14.1
10,"d","Georgia",42.0,15.8,3.2,2.9,18.8,10.1
10,"d","Idaho",55.3,1.0,10.2,8.3,0.8,1.2
10,"d","",,,,,,
10,"d","Illinois",32.3,15.8,0.5,5.8,2.8,4.7
10,"d","Indiana",47.5,32.8,5.8,8.4,2.0,"(Z)"
10,"d","Iowa",19.1,12.1,"(Z)",12.1,0.9,"(Z)"
10,"d","Kansas",63.6,51.4,-,43.2,41.5,41.3
10,"d","Kentucky",28.7,10.9,-,11.8,4.7,3.2
10,"d","Louisiana",10.1,1.1,-,1.1,1.7,1.4
10,"d","Maine",23.3,3.8,0.1,-,0.5,2.8
10,"d","Maryland",33.8,19.0,-,-,"(Z)",3.1
10,"d","Massachusetts",8.8,0.6,4.6,"(Z)",0.5,"(Z)"
10,"d","Michigan",13.3,2.2,3.1,2.3,9.2,2.3
10,"d","",,,,,,
10,"d","Minnesota",25.9,3.0,0.5,9.2,0.8,3.6
10,"d","Mississippi",16.0,0.6,-,0.8,12.9,3.1
10,"d","Missouri",41.2,9.7,"(Z)","(Z)",4.7,2.5
10,"d","Montana",22.5,0.5,2.8,6.9,1.9,0.8
10,"d","Nebraska",15.6,"(Z)",0.5,0.6,7.9,1.6
10,"d","New Jersey",12.5,2.8,"(Z)",2.4,"(Z)",1.2
10,"d","New Mexico",24.6,3.4,4.1,2.2,13.6,3.8
10,"d","New York",35.1,18.5,2.9,4.5,15.8,5.2
10,"d","North Carolina",37.0,6.5,"(Z)","(Z)",0.9,1.5
10,"d","North Dakota",40.4,1.6,0.8,4.1,6.5,-
10,"d","",,,,,,
10,"d","Ohio",34.4,14.3,1.5,2.5,2.1,16.4
10,"d","Oklahoma",2.5,-,-,-,"(Z)","(Z)"
10,"d","Oregon",51.1,2.5,3.0,0.5,0.7,1.4
10,"d","Pennsylvania",30.1,10.4,"(Z)",8.8,1.1,3.0
10,"d","South Carolina",48.9,8.0,9.5,16.3,5.9,10.2
10,"d","South Dakota",52.7,48.5,2.0,15.0,17.7,-
10,"d","Tennessee",10.1,5.0,"(Z)",2.1,1.1,1.8
10,"d","Texas",36.1,12.3,-,23.2,16.2,9.5
10,"d","Utah",43.3,15.0,15.6,5.2,15.7,2.4
10,"d","Vermont",11.5,4.7,0.6,0.8,"(Z)",1.4
10,"d","",,,,,,
10,"d","Virginia",42.5,21.6,2.8,"(Z)",4.9,3.8
10,"d","Washington",46.5,1.2,6.9,0.9,8.9,24.2
10,"d","West Virginia",15.0,4.0,"(Z)",1.1,1.6,1.2
10,"d","Wisconsin",28.6,5.2,5.2,6.1,0.6,2.5
10,"d","Wyoming",13.2,0.1,-,2.0,1.5,1.6
10,"d","",,,,,,
10,"d","Other States 4/",49.7,40.4,12.7,2.8,3.6,2.2
10,"d","",,,,,,
10,"d","United States",46.5,11.1,4.1,10.2,9.3,5.9
10,"c",""
10,"f","-  Represents zero."
10,"f","(Z)  Less than half of the unit shown."
10,"f","1/ Tracheal mites, nosema, hive beetle, wax moths, etc."
10,"f","2/ Includes American and European foulbrood, chalkbrood, stonebrood, paralysis (acute and chronic), kashmir, deformed wing, sacbrood, IAPV, Lake Sinai II, etc."
10,"f","3/ Includes weather, starvation, insufficient forage, queen failure, hive damage/destroyed, etc."
10,"f","4/ Includes data for States not published in this table."
12,"t","Honey Bee Colonies: Released August 1, 2024, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
12,"t","Colony Health Stressors with Five or More Colonies – States and United States: January-March 2024"
12,"t","[Percent of colonies affected by stressors anytime during the quarter. A colony may be affected by multiple stressors during the quarter]"
12,"h","","","","","","",""
12,"h","","Varroa","Other pests","","","",""
12,"h","State","mites","and parasites 1/","Diseases 2/","Pesticides","Other 3/","Unknown"
12,"h","","","","","","",""
12,"u","","(percent)","(percent)","(percent)","(percent)","(percent)","(percent)"
12,"d","Alabama",24.0,18.8,6.3,1.9,2.9,4.5
12,"d","Arizona",15.5,0.5,1.4,0.6,"(Z)",2.4
12,"d","Arkansas",32.0,14.2,0.9,2.0,3.4,4.3
12,"d","California",56.8,24.1,18.2,20.9,17.7,14.8
12,"d","Colorado",5.4,4.3,"(Z)","(Z)",1.8,1.0
12,"d","Connecticut",7.8,0.9,-,"(Z)",-,0.6
12,"d","Florida",28.2,10.5,2.5,9.8,4.2,3.3
12,"d","Georgia",18.5,8.9,0.5,1.1,3.6,5.7
12,"d","Idaho",27.4,5.4,6.0,-,5.7,1.0
12,"d","",,,,,,
12,"d","Illinois",34.6,13.9,2.4,4.6,2.5,11.5
12,"d","Indiana",43.7,3.2,-,-,3.3,"(Z)"
12,"d","Iowa",15.0,0.7,0.7,"(Z)",3.2,1.7
12,"d","Kansas",23.5,2.0,0.7,1.0,15.5,2.7
12,"d","Kentucky",9.0,7.3,4.6,2.8,1.9,5.5
12,"d","Louisiana",11.0,2.8,3.1,3.5,5.5,4.7
12,"d","Maine",21.1,0.9,-,-,0.1,-
12,"d","Maryland",24.7,12.4,"(Z)",-,7.1,-
12,"d","Massachusetts",3.7,0.8,"(Z)",-,0.6,2.6
12,"d","Michigan",4.3,0.6,0.5,1.1,1.0,1.4
12,"d","",,,,,,
12,"d","Minnesota",11.9,"(Z)",1.1,-,2.0,0.5
12,"d","Mississippi",25.0,7.5,3.9,4.1,3.1,7.8
12,"d","Missouri",15.0,2.1,0.6,0.5,7.5,3.5
12,"d","Montana","(Z)",-,-,-,-,-
12,"d","Nebraska",14.8,-,-,-,"(Z)",0.8
12,"d","New Jersey",20.7,3.2,-,-,1.7,4.1
12,"d","New Mexico",91.9,0.5,74.0,-,0.7,"(Z)"
12,"d","New York",21.5,4.8,10.5,1.7,4.8,1.8
12,"d","North Carolina",29.2,1.2,"(Z)",-,1.6,2.5
12,"d","North Dakota",23.6,-,-,-,7.1,3.5
12,"d","",,,,,,
12,"d","Ohio",35.3,9.7,2.1,1.7,5.4,3.1
12,"d","Oklahoma",34.0,18.8,3.3,1.1,1.0,0.9
12,"d","Oregon",24.3,1.5,22.6,22.3,-,"(Z)"
12,"d","Pennsylvania",16.5,2.3,1.9,-,3.2,5.7
12,"d","South Carolina",36.1,7.4,"(Z)",1.8,3.3,3.5
12,"d","South Dakota",42.9,2.7,2.7,"(Z)",-,"(Z)"
12,"d","Tennessee",13.6,5.4,"(Z)",0.7,2.1,10.4
12,"d","Texas",22.2,5.6,0.9,4.5,1.8,2.7
12,"d","Utah",13.2,5.3,6.6,0.7,"(Z)",4.5
12,"d","Vermont",6.8,1.2,"(Z)",0.8,4.0,1.7
12,"d","",,,,,,
12,"d","Virginia",21.0,7.5,1.4,1.1,4.4,3.1
12,"d","Washington",18.4,-,-,-,2.8,8.8
12,"d","West Virginia",12.9,2.4,"(Z)",-,3.9,2.0
12,"d","Wisconsin",11.3,1.7,0.6,"(Z)",1.7,2.7
12,"d","Wyoming",21.0,"(Z)",-,-,20.0,0.9
12,"d","",,,,,,
12,"d","Other States 4/",29.7,22.0,1.1,"(Z)",5.1,"(Z)"
12,"d","",,,,,,
12,"d","United States",43.3,15.0,10.9,12.4,10.6,9.1
12,"c",""
12,"f","-  Represents zero."
12,"f","(Z)  Less than half of the unit shown."
12,"f","1/ Tracheal mites, nosema, hive beetle, wax moths, etc."
12,"f","2/ Includes American and European foulbrood, chalkbrood, stonebrood, paralysis (acute and chronic), kashmir, deformed wing, sacbrood, IAPV, Lake Sinai II, etc."
12,"f","3/ Includes weather, starvation, insufficient forage, queen failure, hive damage/destroyed, etc."
12,"f","4/ Includes data for States not published in this table."
23,"t","Honey Bee Colonies: Released August 1, 2024, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
23,"t","Colony Health Stressors with Five or More Colonies – States and United States: April-June 2024"
23,"t","[Percent of colonies affected by stressors anytime during the quarter. A colony may be affected by multiple stressors during the quarter]"
23,"h","","","","","","",""
23,"h","","Varroa","Other pests","","","",""
23,"h","State","mites","and parasites 1/","Diseases 2/","Pesticides","Other 3/","Unknown"
23,"h","","","","","","",""
23,"u","","(percent)","(percent)","(percent)","(percent)","(percent)","(percent)"
23,"d","Alabama",62.4,23.4,3.9,2.4,5.2,1.3
23,"d","Arizona",11.7,"(Z)","(Z)",1.0,1.0,-
23,"d","Arkansas",34.4,14.6,2.7,12.7,15.0,8.6
23,"d","California",55.0,30.7,1.8,29.3,16.8,4.6
23,"d","Colorado",1.2,-,-,"(Z)",0.9,"(Z)"
23,"d","Connecticut",6.3,1.1,"(Z)","(Z)",2.5,"(Z)"
23,"d","Florida",44.4,13.7,2.9,13.3,13.1,2.0
23,"d","Georgia",31.6,10.8,1.2,2.5,9.1,2.2
23,"d","Idaho",32.7,6.6,3.0,1.2,12.2,"(Z)"
23,"d","",,,,,,
23,"d","Illinois",32.0,13.4,0.6,0.6,3.6,3.2
23,"d","Indiana",21.9,13.6,"(Z)",-,1.8,1.7
23,"d","Iowa",17.1,7.9,3.3,"(Z)",7.8,1.2
23,"d","Kansas",42.0,5.8,2.2,21.5,1.4,2.7
23,"d","Kentucky",36.7,30.2,27.3,29.4,-,27.4
23,"d","Louisiana",17.5,1.4,-,1.0,16.8,1.1
23,"d","Maine",3.1,"(Z)","(Z)",1.2,-,"(Z)"
23,"d","Maryland",26.9,0.6,-,0.5,0.9,1.1
23,"d","Massachusetts",6.6,0.8,0.5,-,2.1,"(Z)"
23,"d","Michigan",24.4,10.5,9.7,7.6,4.2,4.8
23,"d","",,,,,,
23,"d","Minnesota",24.4,2.4,0.9,0.8,0.5,0.5
23,"d","Mississippi",24.7,1.3,-,"(Z)","(Z)",14.3
23,"d","Missouri",13.5,7.1,0.5,0.5,2.1,6.0
23,"d","Montana",10.6,"(Z)",1.4,3.4,"(Z)",-
23,"d","Nebraska",5.9,1.1,0.7,"(Z)",0.7,3.5
23,"d","New Jersey",16.6,3.0,1.5,1.0,0.9,0.7
23,"d","New Mexico",26.7,"(Z)",-,1.1,"(Z)",2.1
23,"d","New York",39.3,6.7,2.8,3.0,3.5,6.0
23,"d","North Carolina",17.0,3.6,"(Z)","(Z)",0.8,1.0
23,"d","North Dakota",41.9,12.0,3.0,"(Z)",17.6,1.4
23,"d","",,,,,,
23,"d","Ohio",35.0,4.6,0.5,4.6,21.9,1.3
23,"d","Oklahoma",13.4,2.3,1.9,1.5,7.8,"(Z)"
23,"d","Oregon",5.3,0.9,3.5,2.2,"(Z)",-
23,"d","Pennsylvania",30.1,10.7,1.2,7.7,2.0,1.8
23,"d","South Carolina",31.6,26.7,1.9,8.2,5.4,0.9
23,"d","South Dakota",70.0,63.6,"(Z)",23.8,65.0,"(Z)"
23,"d","Tennessee",54.1,5.3,-,0.7,5.1,3.0
23,"d","Texas",60.0,52.4,"(Z)",1.6,5.5,0.6
23,"d","Utah",9.6,"(Z)",2.4,1.2,0.7,8.8
23,"d","Vermont",5.6,1.1,1.1,-,0.5,"(Z)"
23,"d","",,,,,,
23,"d","Virginia",23.4,8.5,6.6,"(Z)",7.7,1.0
23,"d","Washington",54.0,11.7,2.3,9.8,19.1,11.6
23,"d","West Virginia",16.1,2.9,0.5,1.5,3.7,0.9
23,"d","Wisconsin",30.0,11.3,11.1,3.9,5.2,16.5
23,"d","Wyoming",12.4,1.3,"(Z)","(Z)",-,2.6
23,"d","",,,,,,
23,"d","Other States 4/",39.1,32.9,32.0,33.7,7.3,3.8
23,"d","",,,,,,
23,"d","United States",54.8,27.5,3.3,15.4,18.0,4.3
23,"c",""
23,"f","-  Represents zero."
23,"f","(Z)  Less than half of the unit shown."
23,"f","1/ Tracheal mites, nosema, hive beetle, wax moths, etc."
23,"f","2/ Includes American and European foulbrood, chalkbrood, stonebrood, paralysis (acute and chronic), kashmir, deformed wing, sacbrood, IAPV, Lake Sinai II, etc."
23,"f","3/ Includes weather, starvation, insufficient forage, queen failure, hive damage/destroyed, etc."
23,"f","4/ Includes data for States not published in this table."
3,"t","Honey Bee Colonies: Released August 1, 2024, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
3,"t","Colonies Lost with Colony Collapse Disorder Symptoms with Five or More Colonies – United States: 2023 and 2024"
3,"t","[Loss reported that met all of the following criteria: 1) Little to no build-up of dead bees in the hive or at the hive entrance 2) Rapid loss of adult honey bee population despite the presence of queen, capped brood, and food reserves 3) Absence or delayed robbing of the food reserves 4) Loss not attributable to varroa or nosema loads. Blank cells indicate estimation period has not yet begun]"
3,"h","","","","",""
3,"h","Year","January-March","April-June","July-September","October-December"
3,"h","","","","",""
3,"u","","(number)","(number)","(number)","(number)"
3,"d","2023",107630,54530,74570,95840
3,"d","2024",70650,62760
3,"c",""
